Отчёт проверки доступности IP:Порт (nmap)
Файл целей: /home/ATOMTES/vlaysavin/docker/scripts/ports/targets.txt
Дата: 27.05.2026 12:30:35   Root: true
======================================================================
НЕИЗВЕСТНО| 93.187.78.92       | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 93.187.78.92       | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
ОТКРЫТ    | 185.179.36.203     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.207     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.208     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.209     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.230     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.231     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.232     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.233     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.239     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.240     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.241     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.242     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.243     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.244     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.245     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.246     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
НЕИЗВЕСТНО| 185.179.36.203     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.207     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.208     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.209     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.230     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.231     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.232     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.233     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.239     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.240     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.241     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.242     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.243     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.244     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.245     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.246     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.203     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.207     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.208     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.209     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.230     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.231     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.232     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.233     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.239     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.240     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.241     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.242     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.243     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.244     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.245     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.246     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
ОТКРЫТ    | 10.126.126.12      | tcp   | 443              | Клиентское подключение к системе по протоколу HTTPS
ЗАКРЫТ    | 10.126.126.12      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
НЕИЗВЕСТНО| 10.126.126.12      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
ОТКРЫТ    | 10.126.126.24      | tcp   | 443              | Клиентское подключение к системе по протоколу HTTPS
ЗАКРЫТ    | 10.126.126.24      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
НЕИЗВЕСТНО| 10.126.126.24      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.24      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
ОТКРЫТ    | 10.126.126.8       | tcp   | 443              | Клиентское подключение к системе по протоколу HTTPS
ЗАКРЫТ    | 10.126.126.8       | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
НЕИЗВЕСТНО| 10.126.126.8       | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.8       | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
ОТКРЫТ    | 10.126.126.29      | tcp   | 443              | Клиентское подключение к системе по протоколу HTTPS
ЗАКРЫТ    | 10.126.126.29      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
НЕИЗВЕСТНО| 10.126.126.29      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.29      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
ОТКРЫТ    | 10.126.126.36      | tcp   | 443              | Клиентское подключение к системе по протоколу
ЗАКРЫТ    | 10.126.126.36      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
НЕИЗВЕСТНО| 10.126.126.36      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.36      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
ОТКРЫТ    | 10.126.126.40      | tcp   | 443              | Клиентское подключение к системе по протоколу HTTPS
ЗАКРЫТ    | 10.126.126.40      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
НЕИЗВЕСТНО| 10.126.126.40      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.40      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
ОТКРЫТ    | 10.126.126.32      | tcp   | 443              | Доступ внешних клиентов к кластеру Web клиента c Web и Desktop клиентов
ОТКРЫТ    | 10.126.126.16      | tcp   | 443              | Клиентское подключение к системе по протоколу HTTPS
